job title,Experience Needed,Location,Posted date,Salary,Company,Job type,Description,Requirements,Job link
Senior Machine Learning Engineer,More Than 5 Years,"New Cairo, Cairo, Egypt",6 days ago,Confidential,Media Sci,Full Time,"Designing ML systems.
Researching and implementing ML algorithms and tools.
Selecting appropriate data sets.
Picking appropriate data representation methods.
Identifying differences in data distribution that affects model performance.
Verifying data quality.
Transforming and converting data science prototypes.
Performing statistical analysis.
Running machine learning tests.
Using results to improve models.
Training and retraining systems when needed.
Extending machine learning libraries.
Developing machine learning apps according to client requirements.","5+ years of related experience,
Graduate of computer science or a related engineering discipline.
OOP concepts and design patterns.
Web Services (REST and SOAP).
MySQL, Elasticsearch, JUnit, Maven, and GIT.
Machine learning techniques and algorithms such as k-NN, Naive Bayes, SVM, Decision Trees, etc
Deep learning frameworks like Deeplearning4j, PyTorch, TensorFlow, etc.
Python and Jupyter Notebook.
NLP, transformers, pandas, numpy.
Data parsing, scraping, and wrangling",https://wuzzuf.net/jobs/p/YDxhBIJimaOR-Senior-Machine-Learning-Engineer-Media-Sci-Cairo-Egypt?o=1&l=sp&t=sj&a=Machine Learning Engineer|search-v3|navbg
Machine Learning Engineer,3 To 7 Years,"Dokki, Giza, Egypt",6 days ago,Confidential,Edentech,Work From Home,"Designing, developing, and researching Machine Learning systems, models, and schemes
Studying, transforming, and converting data science prototypes
Research and implement appropriate ML algorithms and tools
Performing statistical analysis and using results to improve models.
Identifying differences in data distribution that could affect model performance in real-world situations
Analyzing the use cases of ML algorithms and ranking them by their success probability
Understanding when your findings can be applied to business decisions
Verifying data quality and/or ensuring it via data cleaning.
Understand and use computer science fundamentals, including data structures, algorithms, computability and complexity and computer architecture
Use exceptional mathematical skills, in order to perform computations and work with the algorithms involved in this type of programming
Produce project outcomes and isolate the issues that need to be resolved, in order to make programs more effective
Collaborate with data engineers to build data and model pipelines
Manage the infrastructure and data pipelines needed to bring code to production
Build algorithms based on statistical modelling procedures and build and maintain scalable machine learning solutions in production
Use data modelling and evaluation strategy to find patterns and predict unseen instances
Apply machine learning algorithms and libraries
Communicate and explain complex processes to people who are not programming experts
Analyse large, complex datasets to extract insights and decide on the appropriate technique
Research and implement best practices to improve the existing machine learning infrastructure","Education: computer engineering or computer science 
Skills:
Advanced proficiency with Python and Java code writing.
Extensive knowledge of ML frameworks, libraries, data structures, data modeling, and software architecture.
Familiarity with machine learning frameworks  PyTorch and libraries (like scikit-learn)
In-depth knowledge of mathematics, statistics, and algorithms.
Superb analytical and problem-solving abilities.
Great communication and collaboration skills.
Excellent time management and organizational abilities.
Knowledge in SQL and NoSQL databases",https://wuzzuf.net/jobs/p/63GDVXe1mip9-Machine-Learning-Engineer-Edentech-Giza-Egypt?o=2&l=sp&t=sj&a=Machine Learning Engineer|search-v3|navbg
Software Team Lead,8 To 12 Years,"Maadi, Cairo, Egypt",7 days ago,"Confidential, Competitive Salary - Medical Insurance",TMentors,Full Time,"As an engineer, do you want to build AI-driven products? Do you want to collaborate closely with Machine Learning Research Scientists with close ties to the University of Edinburgh?
Do you want to use your software skills where they will have a real impact on the business’s bottom line and the performance of a global online marketplace?

We’re looking for an amazing self-driven lead software developer who loves crafting cutting-edge user experiences.
Help build a platform with a Data-centric, Machine Learning focus
Get feedback from, and build solutions for, users and customers
Stay up-to-date on emerging technologies
Cairo office, with work from home option
You might be a great fit for this job if:
You lead with humility and confidence.
You care about Continual learning and improvement
You care about Code Refactoring and Continually delivering high-quality code.
Our engineers have the opportunity (and are expected) to exercise a high degree of ownership and expertise in their daily work, having strongly held and defensible ideas, and advocating for what they believe is right. But they also need to be eager to hear differing opinions, adept at identifying and evaluating trade-offs, willing to be proven wrong, and quick to walk through fire to help out their fellow teammates.
Position Summary:
As the most senior-level system programming position, a Lead provides technical direction, planning, and vision to programming departments. As a lead programmer on new projects, you shall create, maintain, and own technical specifications, designs, and schedules. Shall have direct management responsibility. Forges strong relationships across departments and with other companies. Communicates programming needs and interests to the product team and others. Anticipates and acts upon issues that arise, providing alternative approaches and solutions.
Architects and implements significant portions of code, leveraging work across many products. Is the expert in a vital technology area, acting as the chief resource to others internally and externally. Communicates a clear vision of how the technology can be optimally applied to products. Evaluates and creates new tools and techniques to facilitate effective development practices. Sets the standard for the highest quality of work.
Leads by example!","B.S./M.S. in Computer Science, proven experience in successfully completing the development of two or more complex commercial applications or technologies, or equivalent applicable experience.
Thorough knowledge of two or more platforms (Windows, Mac, Linux). Expert knowledge of one platform is required. Understands cross-platform issues and is able to learn new platforms quickly.
Excellent knowledge of web technologies, such as HTML, CSS, and Javascript, modern libraries (Angular, React, etc) as well as Internet technologies, communication protocols, and techniques.
Excellent knowledge of database methodology and database systems. 
Excellent analysis, project planning, and schedule estimating skills as applied to multi-person projects. Ability to anticipate and resolve project roadblocks.
Expert knowledge of .NET, C# and debugging techniques is a must
Expert in current software design practices, including modularity, event-driven architecture, object-oriented design, multimedia techniques and asset management, interface design, localization, portability, optimization, extensibility, and testability. Stays abreast of industry innovations and developments.
Strong communication skills, especially in representing their expertise to a wide range of people. Has forged relationships with development personnel throughout the industry.
Self-motivated; works independently.
Enthusiastic about the company and programming company products.
Generates, enhances, and promotes ideas for worthwhile new projects and technologies. 
Watches for upcoming changing conditions and helps plan needed adaptations.",https://wuzzuf.net/jobs/p/tDpJrj9GeBO6-Software-Team-Lead-TMentors-Cairo-Egypt?o=3&l=sp&t=sj&a=Machine Learning Engineer|search-v3|navbg
Python Developer - Internship,Not Specified,"Maadi, Cairo, Egypt",4 days ago,"Paid, Competitive Salary",TMentors,Full Time,"Job Description:
This position is for self-motivated and passionate Students/Fresh graduates looking to get involved in an internship with real-world projects and gain experience working with established code bases and industrial best practices.
At TMentors, we are looking for a Python Developer to join our engineering team and help us develop and maintain various repositories written in python.
Python Developer Intern responsibilities include writing and testing code, debugging programs and integrating applications with third-party web services. To be successful in this role, you should be a fast learner and work well in a team.
Ultimately, you’ll build robust python scripts that align with our business needs and are shippable to clients.
The intern will learn:
Following best coding practices
Enterprise design patterns that center scalability and testability as a guiding compass
Architecting and organizing code into extensible and robust modules
Read and work with 3rd part APIs
Evaluate, critically appraise and choose between various approaches for solving the same problems
Build an aptitude for spotting bad coding practices
Refactoring, developing and testing software components in an agile environment","Required
Fresh graduates or Enrolled in an undergraduate degree (preferably in a penultimate year) in computer science, computer engineering, or a relevant field
Understanding of at least one object-oriented programming language
Team spirit
Good problem-solving skills
BSc in Computer Science, Engineering, or a relevant field
Hunger to learn and contribute
Understanding of data structures and algorithms
Preferred
Understanding and experience working with data engineering libraries such as NumPy, pandas, and Apache spark
Basic understanding of ETL pipelines
A portfolio of projects either extracurricular or advanced coursework",https://wuzzuf.net/internship/ks2Azi1kboPo-Python-Developer---Internship-TMentors-Cairo-Egypt?o=4&l=sp&t=sj&a=Machine Learning Engineer|search-v3|navbg
Junior Production Engineer,0 To 1 Year,"Obour City, Cairo, Egypt",8 days ago,Male,Delta Egypt For Lighting,Internship,"Set the floor plan to allow the most efficient assembly process
Set and monitor production schedule
Coach and train new workers on best practices","Bachelor’s degree in mechanical engineering.
Excellent communication and interpersonal skills
Ability to learn.
Ability to work in a team.
Gender (Male).
Transportation is provided out of Obour City.
Salary Negotiable
Has previous expertise in production with manual assembly lines (not a must)
Has previous expertise in machinery (press brakes, shearing, and press machines) (
Knowing 5S criteria is a must (preferable to have courses)
Very good profile, with great social interacting skills.
Worked with ERP in his previous expertise.
Has a good command of AutoCAD
Has a good command of Ms Office (word, excel, powerpoint, ..etc.)
Has a background in ISO 90001 (worked in such places that took this certificate)
Production section major is preferable, electrical is okay",https://wuzzuf.net/jobs/p/45lysRZRecXG-Junior-Production-Engineer-Delta-Egypt-For-Lighting-Cairo-Egypt?o=5&l=sp&t=sj&a=Machine Learning Engineer|search-v3|navbg
Senior Research Scientist,More Than 4 Years,"Cairo, Egypt",7 days ago,Confidential,Atomica,Full Time,"Atomica.ai is a US-based company that helps doctors provide the best patient care possible using the power of AI, Robotics, and 3D Printing. 

As a senior research scientist, you will have the opportunity to conduct applied research in any of our fields, including machine learning, image segmentation, image registration, 3D reconstruction, computational geometry, robotics, and many more.
Typical tasks include:
Researching and solving a wider range of complex problems in any of the following fields of image processing, computer graphics, computer vision, computational geometry, and robotics.
Designing and implementing state-of-the-art solutions and algorithms
Working in close collaboration with software engineers to build solutions
What we offer
Utilize your technical skills to contribute to creative and exciting projects to improve patients’ lives
See your work integrated into actual medical products used during surgeries
Be part of a young, dynamic, and highly skilled team where you can both have an impact and continue to learn
Benefit from flexible working hours
Earn a competitive salary based on your experience","Skills and requirements
Msc or PhD in a relevant field (e.g. Computer Science, Machine Learning, Applied Mathematics, Engineering)
Strong Track record in your area of research.
Strong programming skills, especially in C++
Ability to conduct applied research independently",https://wuzzuf.net/jobs/p/WjuL0LeHiwuo-Senior-Research-Scientist-Atomica-Cairo-Egypt?o=6&l=sp&t=sj&a=Machine Learning Engineer|search-v3|navbg
Data Scientist,More Than 3 Years,"Nasr City, Cairo, Egypt",11 days ago,Confidential,BlinkApp,Full Time,"Selecting features, building and optimizing models using machine learning techniques 
Data mining using state-of-the-art methods
Enhancing data collection procedures to include information that is relevant for building analytic systems
Processing, cleansing, and verifying the integrity of data used for analysis
Doing ad-hoc analysis and presenting results in a clear manner
Creating automated anomaly detection systems and constant tracking of its performance","Bachelor or Master’s Degree with an emphasis on Computer Science or Engineering
At least three years’ experience in data science projects
Excellent understanding of machine learning techniques and algorithms, such as Gradient boosting, Naive Bayes, RNNs, CNNs, k-NN, SVM, Random Forests, etc.
Experience with common data science toolkits, such as (NumPy, Matplotlib, pandas, Tensorflow/Pytorch, sklearn,seaborn, …etc.)
 Experience with NLP.
 Experience with Dataiku data science studio.
 Great communication skills 
Experience with data visualization tools, such as D3.js, Tableau, etc. 
Proficiency in using query languages such as SQL, Hive, Impala 
Experience with NoSQL databases, such as MongoDB, Cassandra, HBase
Good applied statistics skills, such as distributions, statistical testing, regression, etc.
Good scripting and programming skills
Data-oriented personality",https://wuzzuf.net/jobs/p/MXunj0kftZ1D-Data-Scientist-BlinkApp-Cairo-Egypt?o=7&l=sp&t=sj&a=Machine Learning Engineer|search-v3|navbg
Training Section Head,10 To 20 Years,"6th of October, Giza, Egypt",1 month ago,10000 To 15000 EGP Per Month,Giza Cable Industries,Full Time,"Identify and assess the training needs of the organization through job analysis, career paths and consultation with managers.
Research new training supplies and materials that can enhance a firm’s training procedures while providing value to employees.
Resolve any specific problems and tailor training programs as necessary.
 Conduct orientation programs and arranging on-the-job training for new hires.
Present all the technical and supply training requirements.
Prepare budget for training programs and workshops
Develop training resources, tools, processes and facilities as appropriate.
Ensures regulatory compliance of the technical training portfolio and metrics.
Follow OHS policies and procedures & participate in the company safety programs.","Familiarity with modern and traditional training methods.
Good collaboration and teamwork skills, Advanced record-keeping skills.
Good knowledge of talent management and succession planning methods.
Ability to plan, multi-task and manage time effectively and presentation skills.
Proficiency in MS Office and database software.",https://wuzzuf.net/jobs/p/KY4bSeU9W8aU-Training-Section-Head-Giza-Cable-Industries-Giza-Egypt?o=8&l=sp&t=sj&a=Machine Learning Engineer|search-v3|navbg
Outdoor Sales Engineer,2 To 4 Years,"10th of Ramadan City, Cairo, Egypt",17 days ago,"Confidential, Commission , Transportation , Medical Insurance , Social Insurance",ACFET,Full Time,"The candidate will follow the Industrial Areas allocated customers.
Attract new customer and maintain a good following and relationship with the existing ones
Perform sales and marketing efforts for our full range of services and products.( including but not limited internet searching – calling – visit – meeting - tech presentation and support ….. )
Managing and interpreting customer requirements
Plan and modify products to meet customer needs
Preparing client quotations and follow up to deal closing
Offering after-sales support services
Manage the customer needs to ensure the customer satisfaction
Track metrics to ensure targets are hit
Record and update all  sales activity in CRM
Perform marketing support to promote the Company’s image throughout the market sectors.","BSc. Of Electrical Engineering – Power & Electronics and Electrical machine
2-4 years in Instrumentation - automation systems and products - Panel components – Motors and geared motors
Very good in English language, computer skills
Owning a car is a must.
Good communication and negotiation skills.
Able to work in a team or individually.
Presentable & good profile
Self-discipline  and independence
Target oriented, positive attitude, ambitious, flexible, team-spirited, able to learn
10th of Ramadan , Shrouk City , Obour City , Badr City , 6th of october city",https://wuzzuf.net/jobs/p/iDRrxWxaWVh7-Outdoor-Sales-Engineer-ACFET-Cairo-Egypt?o=9&l=sp&t=sj&a=Machine Learning Engineer|search-v3|navbg
Electronics Maintenance Engineer,2 To 3 Years,"Cairo, Egypt",17 days ago,Confidential,Confidential,Full Time,"experience in repair cards
Carrying out troubleshooting and maintenance according to maintenance system approved by the company on time and in line with customer calls and job orders.
Dealing with customer queries and questions.
Maintaining good relations with customer to ensure high customer satisfaction.
Conduct training for customers on the operation of the machine, work precautions and simple service steps.
Work out regular maintenance schedules (PM) for each piece of equipment and carry out the work.
Deal with emergency breakdowns as they occur, in line with customer calls and the job orders.
Provide strong product technical support by:
Acquiring deep technical knowledge of Company products through self learning and cross training.
Researching, diagnose and identify solutions to resolve technical faults.
Documenting knowledge in the form of knowledge data base.
Assist in Sales activities by:
Providing product or service information to assist customers in making a decision about a product to buy.
Helping to generate new sales leads. Provide information about competitors to sales department.
Attempting to sell Customers new products or upgrades. ","BSC in Electronic Engineering (government university  )
Good Leadership skills.
Experience: 1-2 Years of experience in a similar field.
Males.
2 to 3 years Exp",https://wuzzuf.net/jobs/p/Yncr9w7VinnH-Electronics-Maintenance-Engineer-Cairo-Egypt?o=10&l=sp&t=sj&a=Machine Learning Engineer|search-v3|navbg
Application Support Engineer,2 To 4 Years,"Dokki, Giza, Egypt",29 days ago,Confidential,Caelum Egypt,Full Time,"Provide 1st & eventually 2nd level (after good training on company products) support for production issues across multiple applications, including problem identification, definition and implementation of short-term work around and coordination of long term software solution with business analysis and development team.
Setup, configure and maintain monitoring for the deployed systems
Maintain the company knowledge base related to deployment of new applications and resolutions for known issues
Write internal administration guides for the applications and trains the staff in case of new deployment processes are introduced
Install and configure clients’ environments on request - onsite or offsite
Perform advances investigation of issues including network troubleshooting
Diagnose and resolve day-to-day live system issues in timely manner based on their severity
Clear understanding of software development lifecycle methodologies and documentation standards
Maintain ongoing communication with end-users, business analysts, QA team, and development team on reported issues
Coordinate, Review and respond to system audit alerts in a timely manner
Ability to write, modify, and execute SQL queries for SQL database
Configuration of local machines to clone client's production environment for troubleshooting reported issues
Effectively record and monitor progress of all issues raised, providing feedback to the business users as required
Liaise with other support/development teams to resolve cross system issues
Maintain application support documentation
Test configuration changes in a test environment prior to pushing into production
Design and support application reports
Maintain confidentiality with regard to the information being processed, stored or accessed
Read and recognize the function of SQL queries to perform troubleshooting related to application changes and releases","Bachelor degree in Software/Computer Engineering, Computer Sciences, or related field
Minimum of 2 years’ experience in a software development context with minimum 2 year in a support role
Fluent in English is must
Experience in supporting and maintaining applications on desktop, web and database platforms
Solid working knowledge in SQL database is a must
Fluent English is a MUST
Solid experience in CRM systems (Microsoft Dynamics CRM is a plus)
Solid experience in cloud computing platform (Microsoft Azure is a plus)
Business Intelligence knowledge is a plus
Working experience in .NET framework is a plus
Ability to read and understand job-related materials such as instructions, specifications, references and manuals
Ability to work with demanding users in a fast paced environment
Excellent organizational, analytical, as well as oral and written communication skills
Excellent interpersonal and communication skills (oral and written)
Strong critical thinking and analysis, meeting facilitation, verbal and written communications, and interpersonal skills
The ability to explain complicated concepts in a simple manner
Proven documentation skills with consistent accuracy of details
Strong understanding of change control processes, time management and attention to detail
Ability to manage time and work well under pressure
Flexibility to handle multiple work streams at any time
Ability to investigate, analyze information and to draw conclusions in order to troubleshoot issues
Ability to learn and support new applications
Ability to work independently or as part of a team
Proven ability to understand a customer’s business environment and processes
Ability to travel abroad when needed",https://wuzzuf.net/jobs/p/W7hQTnpL8wuO-Application-Support-Engineer-Caelum-Egypt-Giza-Egypt?o=11&l=sp&t=sj&a=Machine Learning Engineer|search-v3|navbg
Senior Java Developer,More Than 5 Years,"New Cairo, Cairo, Egypt",1 month ago,Confidential,Media Sci,Full Time,"Performs a variety of development assignments requiring knowledge of established programming procedures and data processing requirements.
Performs programming activities related to the development of software products, systems, and projects.
Performs technical tasks including unit testing and system integration.
Participates in project estimation and planning.
Develops, modifies, and tests developed code based on architectural and design requirements.
Participates in requirements analysis, design, and deployment and support of software products, systems, and projects.
Understands and follows the Software development process.
Investigates, introduces, advises, and educates others on tools, technologies, and methodologies.
Researches and examines Software alternatives, different technical topics and tools to assess and explore the feasibility of a given requirement.
Coordinate with the Technical Leader on current programming tasks.
Collaborate with other programmers to design and implement features.
Quickly produce well-organized, optimized, and documented source code.
Participates in system analysis and design.
Contribute to technical design documentation.
Work independently when required.
Continuously learn and improve skills.
Attention to detail is essential and all tasks must be carried out to the highest standard
Handling support Activates
Performs product installation and configuration.
Conducts customer training on software programs.","5+ years of related experience,
Graduate of computer science or a related engineering discipline.
OOP concepts and design patterns.
JSP, Servlet, JSF, PrimeFaces, EJB, Spring, JPA, and Hibernate.
Web Services (REST and SOAP).
MySQL, Elasticsearch, JUnit, Maven, and GIT.
Interested in learning machine learning techniques and algorithms such as k-NN, Naive Bayes, SVM, Decision Trees, etc
Interested in learning deep learning frameworks like Deeplearning4j and TensorFlow.
Interested in learning Python and Jupyter Notebook.",https://wuzzuf.net/jobs/p/1TQAeepNOzTT-Senior-Java-Developer-Media-Sci-Cairo-Egypt?o=12&l=sp&t=sj&a=Machine Learning Engineer|search-v3|navbg
Senior Odoo Developer,More Than 5 Years,"New Cairo, Cairo, Egypt",14 days ago,Confidential,Blue Ribbon,Full Time,"Our company is specialized in managing and operating Sports Clubs in partnership with renowned developers.
Welcome to check our website: https://www.blueribbon-inc.com/
We are currently on the search for a Senior Odoo Developer for KODE (www.KODEClubs.com)
Job purpose:
Your mission is being the in-house developer using your expertise in developing or customizing new modules to support the business and ensure best utilization of Odoo ERP and working on the necessary integration with any other tools, apps, systems…etc
What do we expect from you: 
Developing new Odoo modules and customization of existing modules
Designing and developing of application tables, reports, and modules
Integrating Odoo with other business systems and applications
Design, Develop and test Odoo modules, projects, products, and interfaces (Using Python & JavaScript)
Maintain & customize Odoo addons
Create & customize PDF, Excel, Google Sheets & Financial Reports reports
Odoo database & Modules migration
Resolving the complaints by investigating problems and developing solutions through Odoo
Understanding the top management ‘Vision’ and gathering the right requirements from meetings
Channels meetings to understand the current technical environment, key business issues/drivers, and future technology requirements
Documenting all his/her work
Test the newly customized solution according to the documented user stories
Enhance and import data on Odoo","Bachelor's Degree in Computer Sciences or related field
Working experience with Python.
Experience with PHP Laravel, mobile development and machine learning is a plus
At least 5 years of experience of Odoo development
Strong debugging and troubleshooting skills
Strong Technical Knowledge in Object-Oriented Programming Concepts and data structures
Develop apps/features
Experience delivering management dashboards utilizing BI technologies and data warehousing
Working experience with relational database management systems (PostgreSQL, MySQL)
Expertise in HTML, CSS, XML, JavaScript, and JQuery
Solid expertise with GIT or equivalent source control system
Good knowledge of business processes
Experience in setup Odoo servers & databases
Experience in version upgrades and data migration in Odoo
Quick & Autonomous learner",https://wuzzuf.net/jobs/p/agIv6WyiyzOh-Senior-Odoo-Developer-Blue-Ribbon-Cairo-Egypt?o=13&l=sp&t=sj&a=Machine Learning Engineer|search-v3|navbg
Junior Python Developer,More Than 1 Year,"Dokki, Giza, Egypt",11 days ago,Confidential,RDI,Work From Home,"Responsibilities:
Design, develop and test new products while maintaining the existing
Stay up to date with the latest industry trends in software and cloud solutions 
Ensure high code and design quality that fulfills business requirements 
Partner with Machine Learning researchers to improve the performance and reliability of advanced algorithms
Implementation of security and data protection
Writing reusable, testable, and efficient code
Design and implementation of low-latency, high-availability, and performant applications","Qualifications:
Familiarity with some ORM (Object Relational Mapper) libraries
Able to integrate multiple data sources and databases into one system
Understanding the threading limitations of Python, and multi-process architecture
Knowledge of user authentication and authorization between multiple systems, servers, and environments
Understanding of fundamental design principles behind a scalable application
Experience with RESTful API design
Experience with WebSocket
Good documentation skills
Programming languages:
Python
Good knowledge of Java-Script (+ CSS / HTML)
 Frameworks: 
Flask (highly recommended)
Django
 Other technologies:
Docker / Kubernetes 
SQL & NoSQL Databases 
Jenkins/Gitlab (CI & CD) 
GCP ",https://wuzzuf.net/jobs/p/0yvTijkcosNQ-Junior-Python-Developer-RDI-Giza-Egypt?o=14&l=sp&t=sj&a=Machine Learning Engineer|search-v3|navbg
Mechanical Engineer - Pharmaceutical Industry,7 To 10 Years,"6th of October, Giza, Egypt",1 month ago,"Confidential, Bonus Payment",Global Napi Pharmaceuticals,Full Time,"AutoCAD experience
Good command in English
Ability to learn, and work in a team work
background in pneumatic system and hydraulic system","B.Sc. of engineering ( mechanical – power section )
Min. 7 – 10  years of experience in pharmaceuticals field ( solid doses area, semi-solid and automatic packing machine 
Solid experience in automated packaging lines maintenance.
Strong communication skills.
Good experience for pneumatic and hydraulic systems 
Good command of English 
 ",https://wuzzuf.net/jobs/p/csfKrQZUwUg0-Mechanical-Engineer---Pharmaceutical-Industry-Global-Napi-Pharmaceuticals-Giza-Egypt?o=15&l=sp&t=sj&a=Machine Learning Engineer|search-v3|navbg
