job title,Experience Needed,Location,Posted date,Salary,Company,Job type,Description,Requirements,Job link
Computer Vision Engineer,4 To 9 Years,"Cairo, Egypt",5 days ago,Confidential,Edentech,Full Time,"Responsibilities:
Maintain our computer vision libraries
Explore and analyze video and images through image processing
Implement various segmentation techniques. 
Research, develop, evaluate and optimize various computer vision and deep learning models for    different problems.
Communicate with other teams to gather requirements
Create unit tests, documentation, and examples for the maintained libraries","Requirements:
Bachelor's degree in the areas of Computer Science/Computer Engineering, Engineering or any other related fields
Technical skills:
Experience with C/C++ and Python is a must
Experience with GStreamer  is a must
Experience with DeepStream  is a must
Experience in Image Processing is a must
Experience in Computer Vision is a must
Experience with any machine/deep learning frameworks like Tensorflow and PyTorch
Experience in training models through GPU computing using NVIDIA CUDA or on cloud.
Experience in Mathematics is a must (linear algebra/statistics)
Experience with high-performance computing (vectorization, multi-threading) is a plus
Familiarity with source control tools (git)",https://wuzzuf.net/jobs/p/RaI3XrJXdV83-Computer-Vision-Engineer-Edentech-Cairo-Egypt?o=16&l=sp&t=sj&a=Machine Learning Engineer|search-v3|navbg
Software Architect,More Than 10 Years,"6th of October, Giza, Egypt",2 months ago,Confidential,Perfect Presentation,Full Time,"We are looking to hire an experienced Software Architect  to maintain and upgrade all existing software.
The  Software Architect Engineer’s responsibilities include recommending adjustments to resolve software issues, improving the functionality of existing software, and ensuring that the design, application, and maintenance of software meets the quality standards of the company.
You should also be able to mentor, guide and train other engineers.","Minimum of 10 years prior experience in Enterprise Architecture, including work on large-scale applications as part of a team using version control software
 Building and managing high-performing engineering teams of over 10 developers with product having more than 100k daily users and over 1 million registered users
 Minimum 3 years as a Scrum Master or leading Scrum Teams (PSM or CSM Certification a plus)
 Planning, building and governing cloud API architecture, standards, gateways and microservices for integrating legacy systems
 Developing and managing cloud-computing environments like Amazon EC2, GCP is a real plus
 Architecting and implementing API and integration technologies in a distributed, multi-tiered server-based, enterprise-class environment using a combination of technologies such as REST, SOAP, XML, JSON, OpenAPI, Note.js, Angular.js, .net , .netcore , sharepoint
 Multi-threading, Data Caching Services, DB schema design and data access technologies
 Big Data principles in a NoSQL domain as well as relational databases
 Security, Authentification and Authorization frameworks
 Crafting, implementing and developing scalable high-performance enterprise-level backend solutions as well as ecosystems for web applications & API platforms
Cloud hosting, architectural principles in distributed computing, and DevOps experience, such as: Linux Administration, Git, etc.
 Deep understanding of factors influencing the performance of microservices at multiple layers including network, CPU utilization, JVM tuning, memory management, thread management, database connection pooling, and query performance
 Data reporting and data visualization
 RDBMs like Postgres and No-SQL DBs like Elastic Search and MogoDB
 React JS, HTML4/5, CSS3, AJAX & jQuery (not required but considered a plus)
 Machine learning, big data and/or AI (not required but considered a plus)
 Review data engineering models and data ingestion pipelines
 Proven experience providing oversight for multiple, concurrent IT software development deliverables
 Proven experience managing the evaluation, selection, delivery and performance of technology solution providers and offerings",https://wuzzuf.net/jobs/p/0kUJIMSomjmV-Software-Architect-Perfect-Presentation-Giza-Egypt?o=17&l=sp&t=sj&a=Machine Learning Engineer|search-v3|navbg
NGenius POS Developer,6 To 12 Years,"New Cairo, Cairo, Egypt",1 month ago,Confidential,Network International -Egypt,Full Time,"Planning, development, deployment, and maintenance of software solutions
Defining tasks and giving time estimates
Write clean, maintainable code and test it
Roll out new features, and analyze (and react) to the results you learn about from our QA Engineers and user feedback
Documenting the test cases with respect to new developments/functionalities 
Documenting the changes and updating release commits in confluence.
Issue Investigation and finding the root cause and fix the defects quickly
Issue analysis – Root cause analysis and Implementing corrective and preventive actions
Collaborate with clients and both project and technical teams
Being able to present your solutions in front of clients and/or a group of colleagues
Proactively communicating with other team members and project stakeholders
Use agile methodologies in development 
Participate in code reviews, pairing, and other forms of knowledge sharing
Continually improve your skills and push others to go forward with their knowledge
Working in a cross-functional team
 ","6-8 Years of Experience in Development, including minimum 4 years of experience in POS/payment application and related component development & minimum 3 years of experience on Implementation and DevOps Support 
4+ years of professional experience with Android SDK and Java/Kotlin development 
4+ years of professional experience with Golang development
Hands on experience with development on my sql and Mongo databases
Good knowledge of Kotlin or published apps written in Kotlin
Hands on experience with Continuous Integration and Deployment
Hands on experience with writing clean and testable code as well as unit tests
Hands on experience with Android Studio, Git, RxJava, Dagger 2, Retrofit 
Hands on experience with distributed messaging and push notification services
Hands on experience in Linux environment and shell scripting
Hands on experience on  DBMS/RDBMS,OOP,SOA,WPF,WCF and Web services
Desire for research and improvement of current development processes and code architecture
Good understanding of POS concepts and different types of POS machines in the market like VeriFone, Ingenico and Android POS
Experience working in a team environment
Excellent English knowledge
Good debugging and code review routine
Good to have knowledge of payment transactions, online processing, Batch Processing’s, Acquiring and issuing concepts",https://wuzzuf.net/jobs/p/9SRldxbI7qft-NGenius-POS-Developer-Network-International--Egypt-Cairo-Egypt?o=18&l=sp&t=sj&a=Machine Learning Engineer|search-v3|navbg
Data Engineer,More Than 3 Years,"Maadi, Cairo, Egypt",1 month ago,Confidential,Centro CDX,Full Time,"We are looking for an experienced data engineer to join our team. You will use various methods to transform raw data into useful data systems. For example, you’ll create algorithms and conduct statistical analysis. Overall, you’ll strive for efficiency by aligning data systems with business goals.
To succeed in this data engineering position, you should have strong analytical skills and the ability to combine data from different sources. Data engineer skills also include familiarity with several programming languages and knowledge of learning machine methods.
Responsibilities :
Analyze and organize raw data
Build data systems and pipelines
Evaluate business needs and objectives
Interpret trends and patterns
Conduct complex data analysis and report on results
Prepare data for prescriptive and predictive modeling
Build algorithms and prototypes
Combine raw information from different sources
Explore ways to enhance data quality and reliability
Identify opportunities for data acquisition
Develop analytical tools and programs
Collaborate with data scientists and architects on several projects","Previous experience as a data engineer or in a similar role
Technical expertise with below:
Data warehousing
Data Lake
Data modeling
ETL, incorta, informatica
Azure data factory
AWS, IICS
Hands-on experience with SQL database design
Great numerical and analytical skills
Degree in Computer Science, IT, or similar field; a Master’s is a plus
Data engineering certification (e.g IBM Certified Data Engineer) is a plus
Knowledge of programming languages (e.g. Java and Python) is a plus",https://wuzzuf.net/jobs/p/YgnlNerNUQml-Data-Engineer-Centro-CDX-Cairo-Egypt?o=19&l=sp&t=sj&a=Machine Learning Engineer|search-v3|navbg
Backend Developer,0 To 3 Years,"Sheikh Zayed, Giza, Egypt",2 months ago,Confidential,Nile University,Full Time,"Work with data reports obtained from various systems (e.g. SIS[1], LMS[2], …). This includes accessing, downloading, data filtering and providing visualization charts.
Designing relational databases and queries.
Design patterns, composition, and object-oriented development.
Communicate with peers to exchange data towards achieving OIS unit goals
Perform assigned research activities (artificial intelligence, machine learning, …)
Writing and submitting reports, papers and thesis","Education, Professional Knowledge & Experience  
Bachelor’s degree in Computer Engineering, Computer Science, data analysis and statistics or any related field. Graduates of faculties of engineering and faculties of sciences are eligible. 
Minimum cumulative grade “Very Good”. 
0-3 years related experience or academic experience
Carrying out M.Sc. in computer science (scholarship system) and Publishing at least one scientific paper every two years.
Behavioral and Leadership Profile 
Good problem analysis, assessment, and communication skills.
Judgment, problem solving and decision-making skills.
Excellent planning, task organization and time management
Ability to work effectively in a team.
Language Skills:
Very good command of written and spoken Arabic and English Languages
Technical and Computer Skills:
Microsoft Office Applications, especially Word, Excel & PowerPoint
Good knowledge in Design Patterns, Data Structures, and Algorithms. 
Good knowledge of database tools ( e.g. MYSQL, SQL, MS SQL server database systems…).
Background of HTML, CSS• ",https://wuzzuf.net/jobs/p/ZKi6JqDbkE2Y-Backend-Developer-Nile-University-Giza-Egypt?o=20&l=sp&t=sj&a=Machine Learning Engineer|search-v3|navbg
Front End Developer,0 To 3 Years,"Sheikh Zayed, Giza, Egypt",1 month ago,Confidential,Nile University,Full Time,"Implement  responsive and efficient user interfaces.
Visualize data using charts (e.g. gauges, bar charts, dashboards, …)
Work with databases developed by the back-end developer to provide instant updated visualizations and dashboards.
Design automated reports targeting aesthetics and user satisfaction.
Communicate with peers to exchange data towards achieving OIS unit goals
Perform assigned research activities (artificial intelligence, machine learning, …)
Writing and submitting reports, papers and thesis
Carrying out M.Sc. in computer science (scholarship system) and Publishing at least one scientific paper every two years.","Education, Professional Knowledge & Experience  
Bachelor’s degree in Computer Engineering, Computer Science, data analysis and statistics or any related field. Graduates of faculties of engineering and faculties of sciences are eligible. 
Minimum cumulative grade “Very Good”. 
0-3 years related experience or academic experience
Behavioral and Leadership Profile 
Good problem analysis, assessment, and communication skills.
Judgment, problem solving and decision-making skills.
Excellent planning, task organization and time management
Ability to work effectively in a team.
Language Skills:
Very good command of written and spoken Arabic and English Languages
Technical and Computer Skills:
Microsoft Office Applications, especially Word, Excel & Powerpoint
Good knowledge of HTML, CSS and Javascript
Knowledge of bootstrap and JQuery is an advantage but not mandatory
Background of database tools ( e.g. MYSQL, SQL, …).
Good knowledge of programming languages (e.g. Java, python, .Net)",https://wuzzuf.net/jobs/p/HBU9AY1aefW3-Front-End-Developer-Nile-University-Giza-Egypt?o=21&l=sp&t=sj&a=Machine Learning Engineer|search-v3|navbg
BI Lead,More Than 7 Years,"Sheikh Zayed, Giza, Egypt",1 month ago,"Confidential, Annual Bonus",Excel Systems,Full Time,"Roles & Responsibilities:
Manage and lead BI team
Select tools and methodologies to ensure that solution identify defects and comply with quality standards.
Carefully collect the requirements from stakeholders (across teams).
Translating business requirements into technical ones.
Build the requirements into artistic looking dashboards or other data output using and language.","Qualifications & Experience:
Bachelors in Software Engineer or Computer Science.
A minimum of 7+ Years of experience in related field/needed technology.
Culturally fitting with the company’s standards and profile.
Adapting to dynamic work environment.
Possess general programming skills & SDLC.
experienced with BI tools like:-
Power BI is a must
Tableau desktop, Tableau online/server, SQL (querying and optimization) and python data libraries.
Document the work on schedule.
Basic ETL jobs
Participation in data warehouse design.
Learn new topics and tools on the go (as business grows) like Big Data handling.
A plus: Build and maintain Machine Learning prediction models(classification).
A plus: Build and maintain time series-based predictions.
Aplus: using SAS
Specifications And Skills:
Communication skills and details oriented.
Continuous learning and problem solving.
Writing clean, optimized queries and codes.
SQL for data retrieval and views creation.
MS SQL SERVER is a must
Data warehouse basic knowledge.
Big data concepts (hands on is a plus).
Advanced working SQL knowledge and experience working with relational databases, start schema, as well as working familiarity with a variety of databases.
ETL tools and processes basic knowledge.
API hands-on experience to get requirements from android app and website analytical tools.",https://wuzzuf.net/jobs/p/tpQxzx6h6Bck-BI-Lead-Excel-Systems-Giza-Egypt?o=22&l=sp&t=sj&a=Machine Learning Engineer|search-v3|navbg
Devops Engineer,More Than 4 Years,"6th of October, Giza, Egypt",25 days ago,Confidential,Perfect Presentation,Full Time,"Role Description
The Azure Senior DevOps Engineer is a member of the Enterprise Application Rapid Delivery Services team and is primarily Responsible for building, deploying, maintain and automating our software development pipeline from source control through production. Works closely with operations as a developer, or with development as an operation professional. As a Senior Azure DevOps Engineer, the candidate is responsible for developing and delivering scripts and automation tools used to build, integrate, and deploy software releases to various platforms. The candidate will ensure solutions are built based on company standards and that they can be deployed with the company's environment (whether in a global or local environment).
Position Responsibilities:
Write software, from build system automation to automated deployment, to scale our engineering delivery
Bring in continuous deployment practices to enhance our Agile posture
Imagine, architect, develop, deploy, and evolve CI and CD systems for our cloud applications
Write Infrastructure as Code (IaC) using Industry standard tools and services
Write application deployment automation using industry standard deployment and configuration tools
Design and implement continuous delivery pipelines that serve the purpose of provisioning and operating client test as well as production environments
Provide systems support including responding to monitoring alerts
Implement and stay abreast of Cloud and DevOps industry best practices and tooling
Work with developers to identify necessary Azure resources and automate their provisioning
Document automation processes
Workstation issue troubleshooting (e.g. proxy, McAfee)
CI/CD infrastructure and process troubleshooting (disk space, network issues etc).
CI/CD pipeline support (troubleshooting, support with setting up in new projects)
Work closely with key stakeholders to capture, analyze, and derive DevOps requirements","Skills and Experience Required
More than 4 years hand-on experience with Azure DevOps
Hands-on experience in continuous delivery and continuous integration of CI/CD pipelines
Experience with Azure Repos, branching, code review and code analysis tools
Proficient with Git, Git Flow, Azure DevOps
Strong hands-on expertise in diverse DevSecOps concepts / tools, especially on Azure DevOps, Pipelines, GitHub, GitHub actions
Ability to assess the requirement, environment and suggest right tools / technologies
Hands on experience on Kubernetes and containerization technologies like Docker and Azure Container Registry
Good knowledge on PowerShell scripting
Expertise in Debugging and providing solutions and workarounds
Hands-on experience with REST APIs and consuming from .Net Technologies and PowerShell
Knowledge on Azure Databricks and its architecture / framework
Knowledge on Azure Machine Learning Service and its architecture / framework
Knowledge on different monitoring and logging solutions available on Cloud, preferably on Azure
Expertise on Azure Functions
Excellent communication, presentation, and coding abilities
Education
Bachelor's degree in mathematics, computer science, information systems, or equivalent work experience
Certifications Preferred
Azure DevOps (AZ - 400),
Azure Data Engineering (AZ-200 and AZ-201) and
Azure Cloud Developer (AZ-203)",https://wuzzuf.net/jobs/p/c9BsJQwPlILN-Devops-Engineer-Perfect-Presentation-Giza-Egypt?o=23&l=sp&t=sj&a=Machine Learning Engineer|search-v3|navbg
Administrator (Helpdesk),1 To 2 Years,"6th of October, Giza, Egypt",2 months ago,Confidential,Raya,Full Time,"Ready to be part of one of the Market Leaders in Egypt? Apply now!
Raya Data Center: one of Raya’s subsidiaries is hiring Administrator (Helpdesk):
What will you do?
Respond to requests for technical assistance in person, via phone, electronically to diagnose and resolve technical & hardware issues
Administer users’ machines remotely using SCCM.
Deploy users’ OS using MDT and WDS, run daily reports to set the action plan needed to fix any alerts or problems on user’s machines.
Use Kaspersky and WSUS console to check windows and antivirus updates status on users’ machine and push updates if needed.
Administer help desk software “Manage Engine, SCCM, MDT, WSUS, WDS, etc.”
Recommend active directory group policies needed to control user’s behavior to enhance the overall machines performance.
Visit Users’ locations “HQ or Remote Locations” for any technical assistance, hardware installations or opening new locations.
Log all help desk interactions and prepare activity reports for resolved and closed tickets
Track and route problems, requests and document resolutions.
Follow the ISMS policies, procedures, and ISO 27001 - 20000 procedures.","Bachelor degree in Communications/Electronics engineering or a relevant discipline
1-2 years of experience in IT field
Very deep knowledge of automated and centralized deployment servers as SCCM, MDT, WSUS, WDS, etc.
Very good knowledge of MS systems administration and in Antivirus software like Antivirus and its Admin Kit
ITIL is must
CCNA is must
 What is unique about Raya?
Are you an eager learner? Raya believes in its employees, so we aim to continuously provide learning & development plans for all of our employees to ensure their personal and career development.
Are you looking for career progression? Raya is an entity where you can grow whether horizontally or vertically as we offer internal transfer opportunities.
Are you looking for a rewarding environment? Raya's top achievers are awarded annually with an international 5 days trip.
Are you looking for an opportunity to give back to the community? Raya encourages their employees to give back to the community through different ongoing CSR programs and initiatives.
Are you a foodie? Exclusive discounts for Raya employees at Raya’s Restaurants (Ovio, Jones The Grocer, The Lebanese Bakery, and Loris)",https://wuzzuf.net/jobs/p/YmXXOb6m6KSK-Administrator-Helpdesk-Raya-Giza-Egypt?o=24&l=sp&t=sj&a=Machine Learning Engineer|search-v3|navbg
IT Technical Support - (Help Desk),0 To 1 Year,"Abbassia, Cairo, Egypt",25 days ago,Confidential,Raya Customer Experience,Full Time,"Ensure incoming incidents are categorized, logged and resolved in a timely fashion and within the agreed SL to ensure meeting/exceeding the targets of the KPIs and aiming at the client satisfaction and avoid receiving any negative feedback. 
Resolve software and hardware inquires and install, maintain, troubleshoot, support and repair desktop/laptop hardware and software. 
 Identify and publish internal solutions to solve problems and troubleshoot system and network problems and diagnose and solve network hardware/software faults and collect information/DB about nodes for future use; installing network devices. 
Initiate/Manage user accounts across multiple systems including the email accounts and troubleshot/resolve profile issue for the operations agents only. 
Work on the backup servers/recovery systems in order to restore any missing data when it is crucial and importantly required for continuing the business. 
 Assist users with wireless and remote access. 
Handle all AVAYA issues including upgrading AVAYA firmware and configuring AVAYA [hardware/software] platforms to open the communication channel in between the client and the internal scope. 
 Assist in selecting and deploying new technology to support organizational goals and objectives. 
 Proactively monitor the performance of the machines and ensure that all of them are properly operating and ready for service; or should perform direct maintenance if failure was figured out. 
 Handle operating system installation and ensure the system is configured based the client requirement. 
Support business needed applications and escalate issues to the second line resolver group if not fixed. 
Monitor infrastructure and conducts frequent health check up on computer hardware/software and execute preventive maintenance plans.","interpersonal Skills: Ownership - Functional Skills - Ideas presentation and Taking initiative - Continuous Learning - Customer Centricity.
CCNA Knowledge",https://wuzzuf.net/jobs/p/bJ0PHeQCefXj-IT-Technical-Support---Help-Desk-Raya-Customer-Experience-Cairo-Egypt?o=25&l=sp&t=sj&a=Machine Learning Engineer|search-v3|navbg
Business System Analyst,2 To 5 Years,"Heliopolis, Cairo, Egypt",26 days ago,Confidential,GS1,Full Time," Prepare detailed analysis document with complete awareness with the appropriate techniques and well definition for functional and non-functional requirements.
Participate in the full life-cycle development process from product definition, through design, development, test, release, maintenance and developing innovative solutions to customer requirements.
 Work with technology and business groups to define project specifications. 
 Enhance the efficiency of development, test, and release process; develop tools, frameworks. 
Support developers and QC engineers by clarifying requirements or business concerns raised anytime within the development life cycle.
Effectively communicating with product owners’ insights and plans to support cross-functional team members and management.
 Proactively communicate and collaborate with clients and internal teams to determine / analyze functional requirements and appropriate / accurate project scope considering business needs.
 Translate complex business, functional and technical requirements into detailed work tasks; prepare project scope statements.
 Develop requirements specifications according to standard templates, using natural language.
 Review the Documents with his manager and the technical team before finalizing and version the document.","Bachelor’s Degree in Computer Science or any related field
3+ years of proven experience
Knowledge of software technology, computer programming experience, and broad business knowledge.
Proficient in Microsoft Office programs (Access, Excel, Project, PowerPoint, etc.) and Software Design Tools.
Ability to elicit and document functional requirements, write specifications, use cases, and design user interface requirements for applications.
Positive attitude even under high pressure and stressful situations
Strong problem solving and analytical skills
Advanced organization skills to manage teams, resources, processes, and time to achieve a target result within the stipulated timeframe.
Strong oral and written communication skills
Knowledge of machine learning / Edge AI is a plus.",https://wuzzuf.net/jobs/p/QXK4900FX49X-Business-System-Analyst-GS1-Cairo-Egypt?o=26&l=sp&t=sj&a=Machine Learning Engineer|search-v3|navbg
Snowflakes DW developer,3 To 5 Years,"Maadi, Cairo, Egypt",20 days ago,Confidential,FlairsTech,Full Time,"Snowflake Inc.’s Data Engineers will be responsible for creating very large-scale data analytics solutions based on the Snowflake Data Warehouse.  
The ability to design, implement, and optimize large-scale data and analytics solutions on Snowflake Cloud Data Warehouse is essential. Expertise with Amazon Redshift is a must. A Data Engineer at Snowflake is responsible for:
Implementing ETL pipelines within and outside of a data warehouse using Python and Snowflakes Snow SQL
Querying Snowflake using SQL.
Development of scripts using Unix, Python, etc. for loading, extracting, and transforming data.
Knowledge of Amazon Web Services Redshift
Assist with production issues in Data Warehouses like reloading data, transformations, and translations
Develop a Database Design and Reporting Design based on Business Intelligence and Reporting requirements.
Together, Data Engineers and data scientists would work closely. In order to work effectively with data platforms, you need a deep understanding of data models, algorithms, and data transformation techniques. Engineers will be responsible for building ETL tools (extracting, transforming, and loading), storage, and analytics tools. It is therefore imperative that you have experience with current ETL and BI solutions.
Using Kafka or Hadoop for big data projects requires more specific expertise. Data Engineers need knowledge of machine learning libraries and artificial intelligence frameworks. These include TensorFlow, Spark, PyTorch, and MLPack.
A solid understanding of data science concepts is required
Data analysis expertise
Working knowledge of ETL tools
Knowledge of BI tools
Experience with Big Data technologies such as Hadoop and Kafka
Extensive experience with ML frameworks and libraries including TensorFlow, Spark, PyTorch, and MLPACK","Snowflake Data Engineer Basic Qualifications
Snowflake Data Engineers are required to have the following qualifications:
Minimum of 1 year of experience designing and implementing a full-scale data warehouse solution based on Snowflake.
A minimum of three years experience in developing production-ready data ingestion and processing pipelines using Java, Spark, Scala, Python.
Experience with complex data warehouse solutions on Teradata, Oracle, or DB2 platforms with 2 years of hands-on experience
Expertise and excellent proficiency with Snowflake internals and integration of Snowflake with other technologies for data processing and reporting.
A highly effective communicator, both orally and in writing
Problem-solving and architecting skills in cases of unclear requirements.
A minimum of one year of experience architecting large-scale data solutions, performing architectural assessments, examining architectural alternatives, and choosing the best solution in collaboration with both IT and business stakeholders.
Extensive experience with Talend, Informatica, and building data ingestion pipelines.
Expertise with Amazon Web Services, Microsoft Azure and Google Cloud.
 ",https://wuzzuf.net/jobs/p/NCFm6413BhR7-Snowflakes-DW-developer-FlairsTech-Cairo-Egypt?o=27&l=sp&t=sj&a=Machine Learning Engineer|search-v3|navbg
Full Stack Developer (.Net Core & Angular 9),More Than 2 Years,"Nasr City, Cairo, Egypt",1 month ago,Confidential,JRM for Communications,Full Time,"Perform development tasks in an agile (Scrum) environment.
Handle existing software problems and carry out requested changes
Make Unit testing to the code before release to QC team as required, Fix Issues
Impact analysis for change requests
Participate in Team meeting
Maintain the systems once they are up and running
Writing Documentation according to business needs.","Sc. in Computers & Information, Computer Science or equivalent.
2 + years of relevant experience.
Solid experience in web development using ASP.NET Core.
Solid experience in Angular (2, 4, 5, 6, 7) is a must.
Prior experience in using NGRX with Angular is a big plus
Solid Knowledge in OOP and OOD using C#.NET.
Having No SQL (MongoDb, Redis or Cosmos) Skills is a big plus.
Prior experience in using Repository & Unit of Work design patterns is a must.
Having Skills in using design patterns is a big plus.
Having skills in using DI containers and libraries (AutoFac, Unity, or SimpleInjector).
Restful Web APIs skills are must.
Prior experience in Using Signal R is a big plus.
Unit Testing.
Azure Development skills are a big plus.
DevOps (CI & CD) Skills are a big plus.
Deep knowledge with N-Tiers Architecture is a must.
Micro-services architecture is a big plus.
Front-End Skills in using JavaScript, JQuery, AJAX, HTML5, CSS and Sass.
Using GIT as a source control.
Good knowledge with Agile (Scrum) and prior experience in working in agile environment will be big plus.
Tasks Sizing and estimates skills.
Strong English is highly preferred but not a must",https://wuzzuf.net/jobs/p/SA8PUX5eQl9I-Full-Stack-Developer-Net-Core-Angular-9-JRM-for-Communications-Cairo-Egypt?o=28&l=sp&t=sj&a=Machine Learning Engineer|search-v3|navbg
